company_id,company_name,pay_date,employee_id,employee_name,role,type,gross_pay,employee_social_contrib,income_tax,net_pay,employer_social_contrib,employer_total_cost,account,data_origin
code_and_coffee,Code & Coffee GmbH,2022-02-15,E001,Alice Smith,Barista,Employee Pay,1865.0,382.32,205.15,1277.52,367.4,2232.4,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-02-15,E002,Ben Lee,Barista,Employee Pay,1731.0,354.85,190.41,1185.73,341.01,2072.01,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-02-15,E003,Carla Gomez,Manager,Employee Pay,2272.0,465.76,363.52,1442.72,447.58,2719.58,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-02-15,C001,David Jones,Marketing Contractor,Contractor Pay,1134.0,232.47,68.04,833.49,223.4,1357.4,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-03-15,E001,Alice Smith,Barista,Employee Pay,1857.0,380.69,204.27,1272.05,365.83,2222.83,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-03-15,E002,Ben Lee,Barista,Employee Pay,1807.0,370.44,198.77,1237.8,355.98,2162.98,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-03-15,E003,Carla Gomez,Manager,Employee Pay,2233.0,457.76,357.28,1417.96,439.9,2672.9,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-03-15,C001,David Jones,Marketing Contractor,Contractor Pay,1166.0,239.03,69.96,857.01,229.7,1395.7,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-04-15,E001,Alice Smith,Barista,Employee Pay,1779.0,364.69,195.69,1218.62,350.46,2129.46,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-04-15,E002,Ben Lee,Barista,Employee Pay,1656.0,339.48,182.16,1134.36,326.23,1982.23,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-04-15,E003,Carla Gomez,Manager,Employee Pay,2279.0,467.19,364.64,1447.16,448.96,2727.96,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-04-15,C001,David Jones,Marketing Contractor,Contractor Pay,1113.0,228.16,66.78,818.06,219.26,1332.26,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-05-15,E001,Alice Smith,Barista,Employee Pay,1772.0,363.26,194.92,1213.82,349.08,2121.08,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-05-15,E002,Ben Lee,Barista,Employee Pay,1792.0,367.36,197.12,1227.52,353.02,2145.02,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-05-15,E003,Carla Gomez,Manager,Employee Pay,2248.0,460.84,359.68,1427.48,442.86,2690.86,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-05-15,C001,David Jones,Marketing Contractor,Contractor Pay,1262.0,258.71,138.82,864.47,248.61,1510.61,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-06-15,E001,Alice Smith,Barista,Employee Pay,1765.0,361.82,194.15,1209.02,347.7,2112.7,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-06-15,E002,Ben Lee,Barista,Employee Pay,1740.0,356.7,191.4,1191.9,342.78,2082.78,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-06-15,E003,Carla Gomez,Manager,Employee Pay,2229.0,456.94,356.64,1415.41,439.11,2668.11,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-06-15,C001,David Jones,Marketing Contractor,Contractor Pay,1262.0,258.71,138.82,864.47,248.61,1510.61,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-07-15,E001,Alice Smith,Barista,Employee Pay,1719.0,352.39,189.09,1177.52,338.64,2057.64,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-07-15,E002,Ben Lee,Barista,Employee Pay,1659.0,340.09,182.49,1136.41,326.82,1985.82,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-07-15,E003,Carla Gomez,Manager,Employee Pay,2124.0,435.42,339.84,1348.74,418.43,2542.43,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-07-15,C001,David Jones,Marketing Contractor,Contractor Pay,1293.0,265.06,142.23,885.7,254.72,1547.72,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-08-15,E001,Alice Smith,Barista,Employee Pay,1724.0,353.42,189.64,1180.94,339.63,2063.63,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-08-15,E002,Ben Lee,Barista,Employee Pay,1703.0,349.11,187.33,1166.56,335.49,2038.49,Checking Secondary,derived
code_and_coffee,Code & Coffee GmbH,2022-08-15,E003,Carla Gomez,Manager,Employee Pay,2132.0,437.06,341.12,1353.82,420.0,2552.0,Checking Secondary,derived
